# MASTERLEVEL
# 1. Complete steps
SendMasterLevelWindow.Complete.ML1.Step1:	[Erledigt][1.1] Ihr habt Ianetors elementare Flammen gelöscht!
SendMasterLevelWindow.Complete.ML1.Step2:       [Erledigt][1.2] Der Gerechtigkeit für Lornas wurde Genüge getan!
SendMasterLevelWindow.Complete.ML1.Step3:       [Erledigt][1.3] Der Gegner wurde besiegt! Die sterbende Sippe kann nun aufblühen!
SendMasterLevelWindow.Complete.ML1.Step4:       [Erledigt][1.4] Fadrin und seine Barriere sind gefallen! Die Verdammten sind nun frei!
SendMasterLevelWindow.Complete.ML1.Step5:       [Erledigt][1.5] Ihr habt Eure Macht über Lord Krojers Champions erfolgreich bewiesen!
SendMasterLevelWindow.Complete.ML1.Step6:       [Erledigt][1.6] Kirkleis Fluch wurde aufgehoben! Die Statue läßt nun kein Feuer mehr regnen!
SendMasterLevelWindow.Complete.ML1.Step7:       [Erledigt][1.7] Der Rassa wurde besiegt!
SendMasterLevelWindow.Complete.ML1.Step8:       [Erledigt][1.8] Es schwimmt nun kein Hai mehr im Meer, der einen facettenreichen Rubin im Magen hat!
SendMasterLevelWindow.Complete.ML1.Step9:       [Erledigt][1.9] Der Vorhang der Macht wurde entfernt. Desmona trägt ihre Harpyienkrone nicht mehr!
SendMasterLevelWindow.Complete.ML1.Step10:      [Erledigt][1.10] Mutig sind jene, die Cetus besiegt haben!

SendMasterLevelWindow.Complete.ML2.Step1:		[Erledigt][2.1] Der dunkle Schleicher wurde besiegt!
SendMasterLevelWindow.Complete.ML2.Step2:       [Erledigt][2.2] Ihr habt die Meuchler beseitigt!
SendMasterLevelWindow.Complete.ML2.Step3:       [Erledigt][2.3] Ihr habt die Triton-Schätze geraubt!
SendMasterLevelWindow.Complete.ML2.Step4:       [Erledigt][2.4] Rrionnes Spiegelbild verblasst zusammen mit ihrer Macht!
SendMasterLevelWindow.Complete.ML2.Step5:       [Erledigt][2.5] Ihr habt Chaths überlistet und seinen Test der Strategie bestanden!
SendMasterLevelWindow.Complete.ML2.Step6:       [Erledigt][2.6] Ihr habt Kanakhts Test schließlich gemeistert!
SendMasterLevelWindow.Complete.ML2.Step7:       [Erledigt][2.7] Ihr habt Euch der Dunkelheit der Ewigkeit gestellt!
SendMasterLevelWindow.Complete.ML2.Step8:       [Erledigt][2.8] Ihr seid Amenemhat erfolgreich entgegen getreten!
SendMasterLevelWindow.Complete.ML2.Step9:       [Erledigt][2.9] Die Meister des Kampfes sind vor Euch gefallen und haben Eure außergewöhnlichen Fähigkeiten im Kampf anerkannt!
SendMasterLevelWindow.Complete.ML2.Step10:      [Erledigt][2.10] Der Ankh wurde zerstört und der Betrüger besiegt!

